วันที่,การคลิก,การแสดงผล,CTR,ตำแหน่ง
2026-05-09,0.0,0.0,,
2026-05-10,0.0,0.0,,
2026-05-11,0.0,3.0,0.0,10.3
2026-05-12,0.0,1.0,0.0,12.0
2026-05-13,1.0,1.0,1.0,21.0
2026-05-14,0.0,5.0,0.0,8.0
2026-05-15,0.0,1.0,0.0,4.0
2026-05-16,0.0,0.0,,
2026-05-17,0.0,4.0,0.0,11.5
2026-05-18,0.0,5.0,0.0,8.4
2026-05-19,1.0,6.0,0.16670000000000001,11.5
2026-05-20,0.0,6.0,0.0,6.3
2026-05-21,0.0,0.0,,
2026-05-22,0.0,7.0,0.0,8.0
2026-05-23,0.0,3.0,0.0,24.7
2026-05-24,1.0,2.0,0.5,24.0
2026-05-25,0.0,5.0,0.0,3.0
2026-05-26,1.0,8.0,0.125,8.1
2026-05-27,0.0,19.0,0.0,7.0
2026-05-28,0.0,9.0,0.0,11.3
2026-05-29,2.0,21.0,0.09519999999999999,5.5
2026-05-30,0.0,4.0,0.0,8.0
2026-05-31,0.0,9.0,0.0,4.6
2026-06-01,0.0,0.0,,
2026-06-02,0.0,0.0,,
2026-06-03,0.0,0.0,,
2026-06-04,0.0,0.0,,
2026-06-05,0.0,0.0,,
2026-06-06,0.0,0.0,,
2026-06-07,0.0,0.0,,
2026-06-08,0.0,0.0,,
2026-06-09,0.0,0.0,,
2026-06-10,0.0,0.0,,
2026-06-11,0.0,0.0,,
2026-06-12,0.0,3.0,0.0,2.3
2026-06-13,0.0,0.0,,
2026-06-14,0.0,0.0,,
2026-06-15,0.0,1.0,0.0,6.0
2026-06-16,0.0,0.0,,
2026-06-17,0.0,0.0,,
2026-06-18,0.0,0.0,,
2026-06-19,0.0,2.0,0.0,1.0
2026-06-20,0.0,0.0,,
2026-06-21,0.0,2.0,0.0,12.5
2026-06-22,0.0,3.0,0.0,9.7
2026-06-23,0.0,0.0,,
2026-06-24,0.0,0.0,,
2026-06-25,0.0,0.0,,
2026-06-26,0.0,9.0,0.0,1.0
2026-06-27,0.0,0.0,,
2026-06-28,0.0,0.0,,
2026-06-29,0.0,0.0,,
2026-06-30,0.0,1.0,0.0,5.0
2026-07-01,0.0,0.0,,
2026-07-02,0.0,0.0,,
2026-07-03,0.0,0.0,,
2026-07-04,0.0,0.0,,
2026-07-05,0.0,0.0,,
2026-07-06,0.0,0.0,,
2026-07-07,0.0,0.0,,
2026-07-08,0.0,0.0,,
2026-07-09,0.0,1.0,0.0,1.0
2026-07-10,0.0,0.0,,
2026-07-11,0.0,0.0,,
2026-07-12,0.0,0.0,,
2026-07-13,0.0,0.0,,
2026-07-14,0.0,0.0,,
2026-07-15,0.0,0.0,,
2026-07-16,0.0,1.0,0.0,83.0
2026-07-17,0.0,0.0,,
2026-07-18,0.0,0.0,,
2026-07-19,0.0,0.0,,
2026-07-20,0.0,0.0,,
2026-07-21,0.0,1.0,0.0,1.0
2026-07-22,0.0,2.0,0.0,49.0
2026-07-23,0.0,0.0,,
2026-07-24,0.0,0.0,,
2026-07-25,0.0,0.0,,
2026-07-26,0.0,0.0,,
2026-07-27,0.0,1.0,0.0,24.0
2026-07-28,0.0,0.0,,
2026-07-29,0.0,0.0,,
2026-07-30,0.0,0.0,,
2026-07-31,0.0,1.0,0.0,6.0
2026-08-01,0.0,0.0,,
2026-08-02,0.0,4.0,0.0,7.2
2026-08-03,0.0,0.0,,
2026-08-04,0.0,0.0,,
2026-08-05,0.0,0.0,,
